Artist,Title
Ace of Base,All That She Wants
Adam Lambert,If I Had You
Adele,Rolling in the Deep
Aerosmith,Crazy
Alan Jackson,Summertime Blues
Alison Krauss,When You Say Nothing At All
Animotion,Obsession
Backstreet Boys,I Want It That Way
Barenaked Ladies,"If I Had $1,000,000"
Basement Jaxx,Where's Your Head At
Bea Miller,Fire N Gold
Belinda Carlisle,Heaven Is A Place On Earth
Billy Joel,Uptown Girls
Blaque,Bring It All to Me
Blondie,Rapture
Bobby McFerrin,Don't Worry Be Happy
Bon Jovi,Who Says You Can't Go Home
Brantley Gilbert,Bottoms Up
Britney Spears,Oops!...I Did It Again
Bruno Mars,Just The Way You Are
Carrie Underwood,Two Black Cadillacs
Charlie Puth,Marvin Gaye
Cher,If I Could Turn Back Time
Chesney Hawkes,The One And Only
Christina Aguilera,Dirty
Collin Raye,Little Rock
Crazy Town,Butterfly
"Earth, Wind & Fire",Boogie Wonderland
Ellie Goulding,Burn
ELO,Don't Bring Me Down
Elton John,Pinball Wizard
Elvis Presley,Jailhouse Rock
Eminem,The Real Slim Shady
Florida Georgia Line,Cruise
Katy Perry,I Kissed A Girl
Kool and the Gang,Celebration
Michael Jackson,Black Or White
Natasha Bedingfield,Pocketful of Sunshine
Night Ranger,Sister Christian
Norah Jones,Don't Know Why
Of Monsters And Men,Little Talks
One Direction,What Makes You Beautiful
Peter Schilling,Major Tom
Prince,I Wanna Be Your Lover
Rachel Platten,Fight Song
Right Said Fred,I'm Too Sexy
Salt-N-Pepa,Push It
Sam the Sham and the Pharaohs,Wooly Bully
Seal,Kiss From a Rose
Shakira,Hips Don't Lie
Sixpence None the Richer,There She Goes
Soft Cell,Tainted Love
Steve Perry,Oh Sherrie
Stevie Wonder,"Signed, Sealed, Delivered I'm Yours"
Survivor,Eye Of The Tiger
The All-American Rejects,Gives You Hell
The Bangles,Walk Like an Egyptian
The Black Crowes,Hard To Handle
The Black Eyed Peas,My Humps
The Calling,Wherever You Will Go
The Cranberries,Dreams
The Four Seasons,"December, 1963 (Oh, What a Night)"
The Offspring,Pretty Fly (For A White Guy)
The Who,Who Are You
The Wreckers,Leave The Pieces
The Zombies,She's Not There
TLC,No Scrubs
Toad The Wet Sprocket,All I Want
Toby Keith,Made In America
Tom Petty,Into the Great Wide Open
Tommy James,Mony Mony
Tony Orlando & Dawn,Knock Three Times
Tracy Chapman,Fast Car
Van Morrison,Brown Eyed Girl
Vanilla Ice,Ice Ice Baby
