Artist,Title
3 Doors Down,Kryptonite
.38 Special,So Caught Up In You
a-ha,Take On Me
Abba,Take A Chance On Me
AC/DC,You Shook Me All Night
Ace of Base,Beautiful Life
Adele,Rumor Has It
Afroman,Because I Got High
Alabama,Dixieland Delight
Alan Walker,Faded
Alicia Keys,Fallin'
Alphaville,Forever Young
American Authors,Best Day Of My Life
Ariana Grande,Side To Side
AWOLNATION,Sail
Backstreet Boys,Everybody (Backstreet's Back)
Badfinger,Come And Get It
Bananarama,Cruel Summer
Barenaked Ladies,It's All Been Done
Beyoncé,If I Were A Boy
Big and Rich,Save A Horse
Billy Idol,Rebel Yell
Billy Joel,Piano Man
Billy Ocean,Get Outta My Dreams
Blackstreet,No Diggity
Bon Jovi,Blaze of Glory
Bonnie Raitt,Something To Talk About
Bowling For Soup,1985
Boyz II Men,Motownphilly
Britney Spears,Lucky
Brooks & Dunn,My Maria
Bruce Springsteen,Born In The U.S.A.
Carly Simon,You're So Vain
Carrie Underwood,Cowboy Casanova
Celine Dion,My Heart Will Go On
Destiny's Child,Bootylicious
Diamond Rio,Meet In The Middle
Dionne Warwick,I Say A Little Prayer
Dixie Chicks,Goodbye Earl
Elton John,Sad Songs
Eric Carmen,Hungry Eyes
Europe,The Final Countdown
Fall Out Boy,"Sugar, We're Goin' Down"
Five For Fighting,Superman
Fleetwood Mac,The Chain
Foo Fighters,The Pretender
Foreigner,I Want To Know What Love Is
Garth Brooks,Ain't Going Down 'Til The Sun Comes Up
George Strait,I Cross My Heart
Gloria Gaynor,I Will Survive
Gnarls Barkley,Crazy
Joan Jett,Crimson And Clover
Johnny Cash,Ring Of Fire
Katy Perry,Last Friday Night (T.G.I.F.)
Ke$ha,Tik Tok
Kelly Clarkson,Since U Been Gone
Lionel Cartwright,Leap Of Faith
MAGIC!,Rude
Marc Anthony,I Need To Know
Michael Bublé,Haven't Met You Yet
Michelle Branch,Everywhere
Miley Cyrus,Party In The U.S.A.
Mindy McCready,You'll Never Know
Nena,99 Luftballons
New Radicals,You Get What You Give
No Doubt,It's My Life
Phillip Phillips,"Gone, Gone, Gone"
Rick Springfield,Jessie's Girl
Ronnie Milsap,Stranger In My House
RZA,Kill Bill
Sara Bareilles,King Of Anything
Shania Twain,Any Man Of Mine
Shocking Blue,Venus
Sister Hazel,All For You
